,drugid,omimid
0,DB00575,607554
1,DB00575,607554
2,DB00575,607554
3,DB00575,171300
4,DB00575,171300
5,DB00575,171300
6,DB00575,102300
7,DB00575,102300
8,DB00575,102300
9,DB00575,137580
10,DB00575,137580
11,DB00575,137580
12,DB00575,147530
13,DB00575,147530
14,DB00575,147530
15,DB00575,601042
16,DB00575,601042
17,DB00575,601042
18,DB00575,608622
19,DB00575,608622
20,DB00575,608622
21,DB00575,161900
22,DB00575,161900
23,DB00575,161900
24,DB00575,143465
25,DB00575,143465
26,DB00575,143465
27,DB00575,144110
28,DB00575,144110
29,DB00575,144110
30,DB00570,276300
31,DB00570,276300
32,DB00570,276300
33,DB00570,276300
34,DB00570,276300
35,DB00570,276300
36,DB00570,276300
37,DB00570,276300
38,DB00570,276300
39,DB00570,276300
40,DB00570,276300
41,DB00570,276300
42,DB00570,276300
43,DB00570,188030
44,DB00570,188030
45,DB00570,188030
46,DB00570,188030
47,DB00570,188030
48,DB00570,188030
49,DB00570,188030
50,DB00570,188030
51,DB00570,188030
52,DB00570,188030
53,DB00570,188030
54,DB00570,188030
55,DB00570,188030
56,DB00570,148000
57,DB00570,148000
58,DB00570,148000
59,DB00570,148000
60,DB00570,148000
61,DB00570,148000
62,DB00570,148000
63,DB00570,148000
64,DB00570,148000
65,DB00570,148000
66,DB00570,148000
67,DB00570,148000
68,DB00570,148000
69,DB00570,273300
70,DB00570,273300
71,DB00570,273300
72,DB00570,273300
73,DB00570,273300
74,DB00570,273300
75,DB00570,273300
76,DB00570,273300
77,DB00570,273300
78,DB00570,273300
79,DB00570,273300
80,DB00570,273300
81,DB00570,273300
82,DB00570,236000
83,DB00570,236000
84,DB00570,236000
85,DB00570,236000
86,DB00570,236000
87,DB00570,236000
88,DB00570,236000
89,DB00570,236000
90,DB00570,236000
91,DB00570,236000
92,DB00570,236000
93,DB00570,236000
94,DB00570,236000
95,DB00570,254400
96,DB00570,254400
97,DB00570,254400
98,DB00570,254400
99,DB00570,254400
100,DB00570,254400
101,DB00570,254400
102,DB00570,254400
103,DB00570,254400
104,DB00570,254400
105,DB00570,254400
106,DB00570,254400
107,DB00570,254400
108,DB00570,114480
109,DB00570,114480
110,DB00570,114480
111,DB00570,114480
112,DB00570,114480
113,DB00570,114480
114,DB00570,114480
115,DB00570,114480
116,DB00570,114480
117,DB00570,114480
118,DB00570,114480
119,DB00570,114480
120,DB00570,114480
121,DB00909,607681
122,DB00909,607681
123,DB00909,607681
124,DB00909,607681
125,DB00909,607681
126,DB00909,239350
127,DB00909,239350
128,DB00909,239350
129,DB00909,239350
130,DB00909,239350
131,DB00909,190300
132,DB00909,190300
133,DB00909,190300
134,DB00909,190300
135,DB00909,190300
136,DB00909,600131
137,DB00909,600131
138,DB00909,600131
139,DB00909,600131
140,DB00909,600131
141,DB00909,607631
142,DB00909,607631
143,DB00909,607631
144,DB00909,607631
145,DB00909,607631
146,DB00909,604827
147,DB00909,604827
148,DB00909,604827
149,DB00909,604827
150,DB00909,604827
151,DB00909,608105
152,DB00909,608105
153,DB00909,608105
154,DB00909,608105
155,DB00909,608105
156,DB00909,208700
157,DB00909,208700
158,DB00909,208700
159,DB00909,208700
160,DB00909,208700
161,DB00909,607682
162,DB00909,607682
163,DB00909,607682
164,DB00909,607682
165,DB00909,607682
166,DB00909,300491
167,DB00909,300491
168,DB00909,300491
169,DB00909,300491
170,DB00909,300491
171,DB00909,217200
172,DB00909,217200
173,DB00909,217200
174,DB00909,217200
175,DB00909,217200
176,DB00909,607628
177,DB00909,607628
178,DB00909,607628
179,DB00909,607628
180,DB00909,607628
181,DB00909,267740
182,DB00909,267740
183,DB00909,267740
184,DB00909,267740
185,DB00909,267740
186,DB01143,276300
187,DB01143,276300
188,DB00443,603165
189,DB00443,151590
190,DB00443,133600
191,DB00443,125600
192,DB00176,164230
193,DB00176,167870
194,DB00334,300494
195,DB00334,164230
196,DB00334,181500
197,DB00374,178600
198,DB00374,178600
199,DB00374,178600
200,DB00374,178600
201,DB00374,178600
202,DB00374,178600
203,DB00374,161900
204,DB00374,161900
205,DB00374,161900
206,DB00374,161900
207,DB00374,161900
208,DB00374,161900
209,DB00631,247640
210,DB00631,247640
211,DB00631,247640
212,DB00631,247640
213,DB00631,247640
214,DB00631,247640
215,DB00631,247640
216,DB00631,247640
217,DB00631,247640
218,DB00631,247640
219,DB00631,247640
220,DB00631,247640
221,DB00631,247640
222,DB00631,247640
223,DB00631,247640
224,DB00631,247640
225,DB00631,247640
226,DB01356,181500
227,DB01356,181500
228,DB01275,145500
229,DB01275,608622
230,DB01275,161900
231,DB01109,540000
232,DB01109,540000
233,DB01109,540000
234,DB01109,540000
235,DB01109,540000
236,DB01109,540000
237,DB01109,540000
238,DB01109,540000
239,DB01109,540000
240,DB01109,540000
241,DB01109,125310
242,DB01109,125310
243,DB01109,125310
244,DB01109,125310
245,DB01109,125310
246,DB01109,125310
247,DB01109,125310
248,DB01109,125310
249,DB01109,125310
250,DB01109,125310
251,DB01109,601367
252,DB01109,601367
253,DB01109,601367
254,DB01109,601367
255,DB01109,601367
256,DB01109,601367
257,DB01109,601367
258,DB01109,601367
259,DB01109,601367
260,DB01109,601367
261,DB00630,102500
262,DB00630,102500
263,DB00630,102500
264,DB00630,102500
265,DB00630,102500
266,DB00630,102500
267,DB00630,150600
268,DB00630,150600
269,DB00630,150600
270,DB00630,150600
271,DB00630,150600
272,DB00630,150600
273,DB00630,166710
274,DB00630,166710
275,DB00630,166710
276,DB00630,166710
277,DB00630,166710
278,DB00630,166710
279,DB00630,602080
280,DB00630,602080
281,DB00630,602080
282,DB00630,602080
283,DB00630,602080
284,DB00630,602080
285,DB00630,167320
286,DB00630,167320
287,DB00630,167320
288,DB00630,167320
289,DB00630,167320
290,DB00630,167320
291,DB00586,607459
292,DB00586,607459
293,DB00586,150600
294,DB00586,150600
295,DB00586,208230
296,DB00586,208230
297,DB00586,308205
298,DB00586,308205
299,DB00586,147530
300,DB00586,147530
301,DB00586,106400
302,DB00586,106400
303,DB00586,140600
304,DB00586,140600
305,DB00586,607850
306,DB00586,607850
307,DB00586,165720
308,DB00586,165720
309,DB00122,607459
310,DB00122,208230
311,DB00122,147530
312,DB00122,140600
313,DB00122,607850
314,DB00122,165720
315,DB01005,276300
316,DB01005,276300
317,DB01005,276300
318,DB01005,276300
319,DB01005,263300
320,DB01005,263300
321,DB01005,263300
322,DB01005,263300
323,DB01005,144700
324,DB01005,144700
325,DB01005,144700
326,DB01005,144700
327,DB01005,155601
328,DB01005,155601
329,DB01005,155601
330,DB01005,155601
331,DB01005,155600
332,DB01005,155600
333,DB01005,155600
334,DB01005,155600
335,DB01005,187950
336,DB01005,187950
337,DB01005,187950
338,DB01005,187950
339,DB01005,605839
340,DB01005,605839
341,DB01005,605839
342,DB01005,605839
343,DB00773,276300
344,DB00773,276300
345,DB00773,276300
346,DB00773,276300
347,DB00773,276300
348,DB00773,276300
349,DB00773,276300
350,DB00773,276300
351,DB00773,276300
352,DB00773,276300
353,DB00773,276300
354,DB00773,276300
355,DB00773,276300
356,DB00773,276300
357,DB00773,276300
358,DB00773,276300
359,DB00773,276300
360,DB00773,276300
361,DB00773,276300
362,DB00773,276300
363,DB00773,276300
364,DB00773,276300
365,DB00773,276300
366,DB00773,276300
367,DB00773,276300
368,DB00773,276300
369,DB00773,276300
370,DB00773,276300
371,DB00773,276300
372,DB00773,276300
373,DB00773,276300
374,DB00773,276300
375,DB00773,276300
376,DB00773,276300
377,DB00773,276300
378,DB00773,276300
379,DB00773,276300
380,DB00773,276300
381,DB00773,276300
382,DB00773,276300
383,DB00773,276300
384,DB00773,276300
385,DB00773,276300
386,DB00773,276300
387,DB00773,276300
388,DB00773,276300
389,DB00773,276300
390,DB00773,276300
391,DB00773,276300
392,DB00773,276300
393,DB00773,276300
394,DB00773,276300
395,DB00773,276300
396,DB00773,276300
397,DB00773,276300
398,DB00773,273300
399,DB00773,273300
400,DB00773,273300
401,DB00773,273300
402,DB00773,273300
403,DB00773,273300
404,DB00773,273300
405,DB00773,273300
406,DB00773,273300
407,DB00773,273300
408,DB00773,273300
409,DB00773,273300
410,DB00773,273300
411,DB00773,273300
412,DB00773,273300
413,DB00773,273300
414,DB00773,273300
415,DB00773,273300
416,DB00773,273300
417,DB00773,273300
418,DB00773,273300
419,DB00773,273300
420,DB00773,273300
421,DB00773,273300
422,DB00773,273300
423,DB00773,273300
424,DB00773,273300
425,DB00773,273300
426,DB00773,273300
427,DB00773,273300
428,DB00773,273300
429,DB00773,273300
430,DB00773,273300
431,DB00773,273300
432,DB00773,273300
433,DB00773,273300
434,DB00773,273300
435,DB00773,273300
436,DB00773,273300
437,DB00773,273300
438,DB00773,273300
439,DB00773,273300
440,DB00773,273300
441,DB00773,273300
442,DB00773,273300
443,DB00773,273300
444,DB00773,273300
445,DB00773,273300
446,DB00773,273300
447,DB00773,273300
448,DB00773,273300
449,DB00773,273300
450,DB00773,273300
451,DB00773,273300
452,DB00773,273300
453,DB00773,236000
454,DB00773,236000
455,DB00773,236000
456,DB00773,236000
457,DB00773,236000
458,DB00773,236000
459,DB00773,236000
460,DB00773,236000
461,DB00773,236000
462,DB00773,236000
463,DB00773,236000
464,DB00773,236000
465,DB00773,236000
466,DB00773,236000
467,DB00773,236000
468,DB00773,236000
469,DB00773,236000
470,DB00773,236000
471,DB00773,236000
472,DB00773,236000
473,DB00773,236000
474,DB00773,236000
475,DB00773,236000
476,DB00773,236000
477,DB00773,236000
478,DB00773,236000
479,DB00773,236000
480,DB00773,236000
481,DB00773,236000
482,DB00773,236000
483,DB00773,236000
484,DB00773,236000
485,DB00773,236000
486,DB00773,236000
487,DB00773,236000
488,DB00773,236000
489,DB00773,236000
490,DB00773,236000
491,DB00773,236000
492,DB00773,236000
493,DB00773,236000
494,DB00773,236000
495,DB00773,236000
496,DB00773,236000
497,DB00773,236000
498,DB00773,236000
499,DB00773,236000
500,DB00773,236000
501,DB00773,236000
502,DB00773,236000
503,DB00773,236000
504,DB00773,236000
505,DB00773,236000
506,DB00773,236000
507,DB00773,236000
508,DB00773,182280
509,DB00773,182280
510,DB00773,182280
511,DB00773,182280
512,DB00773,182280
513,DB00773,182280
514,DB00773,182280
515,DB00773,182280
516,DB00773,182280
517,DB00773,182280
518,DB00773,182280
519,DB00773,182280
520,DB00773,182280
521,DB00773,182280
522,DB00773,182280
523,DB00773,182280
524,DB00773,182280
525,DB00773,182280
526,DB00773,182280
527,DB00773,182280
528,DB00773,182280
529,DB00773,182280
530,DB00773,182280
531,DB00773,182280
532,DB00773,182280
533,DB00773,182280
534,DB00773,182280
535,DB00773,182280
536,DB00773,182280
537,DB00773,182280
538,DB00773,182280
539,DB00773,182280
540,DB00773,182280
541,DB00773,182280
542,DB00773,182280
543,DB00773,182280
544,DB00773,182280
545,DB00773,182280
546,DB00773,182280
547,DB00773,182280
