,Disease1,Disease2,PHENO-SIM
0,231200,155100,0.3206863835467482
1,231200,273800,0.38889801120481154
2,231200,607554,0.1226663032114919
3,231200,171300,0.15743673264624358
4,231200,102300,0.1482483235458344
5,231200,137580,0.18335945477441953
6,231200,147530,0.11187477034658962
7,231200,601042,0.1329791937083694
8,231200,608622,0.11097419040461882
9,231200,161900,0.1263565970099534
10,231200,143465,0.13287276776598395
11,231200,144110,0.12969524996603018
12,231200,261515,0.14348073586579782
13,231200,276300,0.15647706828731078
14,231200,188030,0.2190973066107051
15,231200,148000,0.17484227598679503
16,231200,273300,0.2211697273700934
17,231200,236000,0.17283621333320132
18,231200,254400,0.11431163823167223
19,231200,114480,0.2012928222127295
20,231200,607681,0.13029246839689126
21,231200,239350,0.06277648205743444
22,231200,190300,0.16328041908241125
23,231200,600131,0.13710822434681758
24,231200,607631,0.14536113855365226
25,231200,604827,0.11400590984727986
26,231200,608105,0.1174440439029407
27,231200,208700,0.1174440439029407
28,231200,607682,0.1268540658512312
29,231200,300491,0.16844697752246313
30,231200,217200,0.05872202195147035
31,231200,607628,0.18569533817705183
32,231200,267740,0.10170952554312156
33,231200,208550,0.14765501083503432
34,231200,600807,0.2014568306896239
35,231200,151400,0.21978306964174793
36,231200,258360,0.10389707743074718
37,231200,109543,0.17347634964786218
38,231200,126200,0.18338303950083704
39,231200,603165,0.13843574767169697
40,231200,151590,0.20402356668666194
41,231200,133600,0.07511746287542015
42,231200,164230,0.17898490189307303
43,231200,167870,0.14001279953902174
44,231200,115000,0.14497607525854997
45,231200,134510,0.18569533817705183
46,231200,134520,0.204264871994757
47,231200,134430,0.14497607525854997
48,231200,227300,0.3099244718155732
49,231200,134500,0.2880772565599833
50,231200,157950,0.14680505487867587
51,231200,254200,0.18652495662553714
52,231200,300494,0.22801181969455972
53,231200,181500,0.1724990103234585
54,231200,178600,0.22731735127180788
55,231200,247640,0.06277648205743444
56,231200,102500,0.1412470846292275
57,231200,215470,0.15422731972837422
58,231200,601518,0.16356608587077823
59,231200,311360,0.22300869946899787
60,231200,176807,0.1561424680069489
61,231200,192000,0.04028297472553804
62,231200,137750,0.24653389835166153
63,231200,145500,0.19349693793518555
64,231200,225755,0.07878385971583353
65,231200,608033,0.17331564896524837
66,231200,260970,0.09589266029707683
67,231200,225740,0.07878385971583353
68,231200,215140,0.15446145506151496
69,231200,256370,0.18248422564933506
70,231200,600351,0.16113189890215215
71,231200,203700,0.11609147621692016
72,231200,208300,0.09416472308615166
73,231200,137800,0.21250209812814988
74,231200,254500,0.2172492910307006
75,231200,540000,0.17090618756876552
76,231200,125310,0.18000620721761657
77,231200,601367,0.13784569917704795
78,231200,150600,0.12903583341622094
79,231200,166710,0.1683969470044976
80,231200,602080,0.13316902848554257
81,231200,167320,0.19005668414660307
82,231200,607459,0.18859083345447675
83,231200,208230,0.15333287901436488
84,231200,308205,0.1621358456799762
85,231200,106400,0.12555296411486888
86,231200,140600,0.1329791937083694
87,231200,607850,0.11187477034658962
88,231200,165720,0.16383111345890763
89,231200,252320,0.08808303292720551
90,231200,600808,0.1502349257508403
91,231200,600631,0.14532958974404495
92,231200,263300,0.190033819791575
93,231200,144700,0.21945855550665788
94,231200,155601,0.18793271211851736
95,231200,155600,0.1718369997100952
96,231200,187950,0.2445277375534107
97,231200,182280,0.20761369963434995
98,231200,600082,0.08576900278702358
99,231200,200170,0.06909801595573181
100,231200,241100,0.04794633014853841
101,231200,109350,0.14266477496263322
102,231200,107320,0.2445277375534107
103,231200,157300,0.12173485953609417
104,231200,152700,0.21349693100367503
105,231200,191390,0.1107273064716533
106,231200,266600,0.18585674223896792
107,231200,179600,0.14680505487867587
108,231200,190400,0.14383899044561524
109,231200,160750,0.17705355794912775
110,231200,181000,0.13164268547907043
111,231200,601608,0.15756771943166706
112,231200,153880,0.11968127433753244
113,231200,233810,0.06909801595573181
114,231200,223350,0.11516335992621968
115,231200,166760,0.1063833549666955
116,231200,125853,0.1747945779490639
117,231200,125851,0.23990916402191545
118,231200,600496,0.24814583349273256
119,231200,125850,0.22311002051992532
120,231200,212350,0.16609095970747992
121,231200,212112,0.1226663032114919
122,231200,212130,0.08304547985373997
123,231200,208750,0.06277648205743444
124,231200,226000,0.07427813527082074
125,231200,246300,0.16609095970747995
126,231200,188050,0.1410457344418612
127,231200,146255,0.2365977689124864
128,231200,601626,0.17991351543101758
129,231200,208920,0.2153140804887246
130,231200,133239,0.19128782216705736
131,231200,246470,0.07191949522280762
132,231200,259500,0.1654051028490452
133,231200,231090,0.1618854426800759
134,231200,268220,0.22131694743640967
135,231200,114500,0.19995275776478327
136,231200,137215,0.18362046480658262
137,231200,109800,0.17471781760734562
138,231200,143880,0.08304547985373997
139,231200,166300,0.11508481266693303
140,231200,114580,0.13288849514578288
141,231200,212050,0.17616606585441102
142,231200,125320,0.10015661716722687
143,231200,168600,0.1733123057817182
144,231200,190310,0.16781215551988446
145,231200,168100,0.09252695079309475
146,231200,107550,0.06780635036208105
147,231200,226150,0.04606534397048787
148,231200,158280,0.027681826617913324
149,231200,256700,0.20168677685674555
150,231200,188470,0.16378509642006694
151,231200,211980,0.19714833812349022
152,231200,194070,0.23939441057852387
153,231200,600263,0.17781810391593458
154,231200,176800,0.09416472308615166
155,231200,184700,0.15200787979637312
156,231200,254800,0.24977443404902208
157,231200,102100,0.057155819115836115
158,231200,254770,0.16609095970747992
159,231200,605055,0.11744404390294069
160,231200,606703,0.1728729518208802
161,231200,277460,0.1800197139820045
162,231200,266120,0.17811271131234427
163,231200,230450,0.19498010508590444
164,231200,104300,0.20795887105754168
165,231200,231900,0.12317635241028793
166,231200,608583,0.14037248126871926
167,231200,608088,0.1370180512200975
168,231200,165199,0.13840913308956662
169,231200,247200,0.2808587550014252
170,231200,601004,0.033903175181040524
171,231200,138800,0.1220716094450807
172,231200,275000,0.19079417535141638
173,231200,140300,0.18212947177517738
174,231200,264120,0.058722021951470346
175,231200,303110,0.27377217470638116
176,231200,601665,0.20178614559923555
177,231200,147540,0.12555296411486888
178,231200,103780,0.17356667839631482
179,231200,601682,0.16286558549611407
180,231200,137760,0.1686551985420674
181,231200,131300,0.15764656242856073
182,231200,144650,0.1268540658512312
183,231200,144010,0.18605909041238622
184,231200,310468,0.23257386301548277
185,231200,115195,0.21354551962390278
186,231200,254450,0.20358198187014262
187,231200,248190,0.15563429995923622
188,231200,189800,0.17124719759862633
189,231200,174800,0.155781200492159
190,231200,604416,0.18157334995244226
191,231200,146500,0.13648126256235882
192,231200,140850,0.09589266029707683
193,231200,110100,0.18470962903655977
194,231200,300125,0.086580897858956
195,231200,157700,0.11141720290623112
196,231200,109100,0.2162734231207966
197,231200,277440,0.20966284494540932
198,231200,241519,0.07191949522280762
199,231200,182830,0.14680505487867587
200,231200,602068,0.10440785943762594
201,231200,300232,0.13130643285972254
202,231200,259050,0.09688639316269664
203,231200,165150,0.09787003658578393
204,231200,156190,0.10623213476947664
205,231200,104130,0.0643267520902677
206,231200,304790,0.19178532059415365
207,231200,146850,0.10985884360051028
208,231200,205700,0.10504514628777804
209,231200,607499,0.06948083337796512
210,231200,607685,0.1377749527404283
211,231200,131440,0.15756771943166706
212,231200,145200,0.0
213,231200,145100,0.1502349257508403
214,231200,182000,0.15256428831468236
215,231200,277350,0.06277648205743444
216,231200,115300,0.14037248126871926
217,231200,173200,0.1516196087157807
218,231200,148100,0.12456821978060996
219,231200,608320,0.2203989839902354
220,231200,128101,0.17443039726161208
221,231200,607225,0.16280170411083794
222,231200,143100,0.19368770132137852
223,231200,189600,0.13336357793695092
224,231200,131200,0.1090440572471855
225,231200,121201,0.18569533817705183
226,231200,132100,0.12633523314184736
227,231200,132090,0.12519577145903357
228,231200,132300,0.15536386656646634
229,231200,212140,0.1666706855877477
230,231200,607516,0.1630980846658687
231,231200,607508,0.10613372610104649
232,231200,607501,0.07878385971583353
233,231200,607498,0.13819603191146362
234,231200,170900,0.1107273064716533
235,231200,175100,0.19943340493329526
236,231200,175505,0.11187477034658962
237,231200,135550,0.10170952554312156
238,231200,125700,0.2004750600517053
239,231200,304900,0.07878385971583353
240,231200,268320,0.15756771943166706
241,231200,103100,0.08304547985373997
242,231200,121200,0.2445277375534107
243,231200,237500,0.22666415081076222
244,231200,237450,0.14383899044561524
245,231200,218800,0.23448275862068965
246,231200,208085,0.14299535272655334
247,231200,608217,0.07191949522280762
248,231200,143500,0.19977637561891004
249,231200,133690,0.1107273064716533
250,231200,600803,0.16948917838934208
251,231200,602522,0.18281616630683942
252,231200,263800,0.195306539808357
253,231200,246400,0.11968127433753244
254,231200,156000,0.12633523314184736
255,231200,160300,0.05872202195147035
256,231200,127750,0.1945428749490453
257,231200,102400,0.04606534397048787
258,231200,308350,0.17509363310389306
259,231200,605021,0.1409561531470564
260,231200,312910,0.11986582537134603
261,231200,113610,0.09589266029707683
262,231200,218200,0.11744404390294069
263,231200,250790,0.12785688039610243
264,231200,206200,0.13080685045405419
