,Drug,Disease,Class,Feature_TC,Feature_SE-SIM,Feature_PPI-SIM,Feature_Unnamed: 0,Feature_GO-SIM,Feature_TARGETSEQ-SIM,Feature_HPO-SIM,Feature_PHENO-SIM
0,DB01162,144110,1,0.5,0.2844827586206896,0.1218017549129514,3806.0,0.8559043183105844,0.2264530506092668,0.7665657037011335,0.2963188789948769
1,DB00993,181000,1,0.1034482758620689,0.0863309352517985,0.0448083615310775,27269.0,0.5626447949023891,0.0733185093948577,0.5727122625770948,0.3050444380432815
2,DB00669,146500,0,0.2647058823529412,0.1128608923884514,0.0448083615310775,39176.0,0.7682280282050152,0.2775255117804401,0.6793690125396518,0.3321535233483379
3,DB00502,608217,0,0.3174603174603174,0.1218274111675127,0.0,43572.0,0.8255895407628829,0.0475909657700676,0.8586671509610497,0.3692744729379982
4,DB00990,146110,0,0.275,0.1071428571428571,0.0,44351.0,0.4511163506885877,0.0369659784044335,0.7918059241628672,0.2978090374549429
5,DB00122,165720,1,0.34,0.0032467532467532,0.1218017549129514,22902.0,0.7027956526549664,0.0659256239326904,0.7505393171531877,0.4211985011941251
6,DB01242,155600,0,0.2025316455696202,0.1919561243144424,0.1218017549129514,24344.0,0.691421216758069,0.0431504511018844,0.8122387957595909,0.4288095277183998
7,DB00992,106400,1,0.25,0.1392405063291139,0.0448083615310775,22269.0,0.6516079362301024,0.0472788302576612,0.7072231698422959,0.3273268353539886
8,DB00491,256700,0,0.5384615384615384,0.0191489361702127,0.0448083615310775,33821.0,0.4196269296644714,0.036372869795818,0.6191336728446851,0.449190111337038
9,DB00284,215470,0,0.3125,0.1034482758620689,0.0448083615310775,15927.0,0.4917515457007575,0.0418585212120444,0.6681593966749533,0.3431317581537581
10,DB01129,600263,1,0.859375,0.3873684210526316,0.0448083615310775,34407.0,0.5134236081186939,0.0367966916005915,0.5712472131433333,0.2852416998937054
11,DB00331,134520,0,0.1219512195121951,0.1452513966480447,0.1218017549129514,13221.0,0.4863543122584138,0.041545798383151,0.6745244032523552,0.5499999999999999
12,DB01185,104300,0,0.4153846153846154,0.0301003344481605,0.1218017549129514,35936.0,0.7102682256316786,0.0497676500961182,0.7542469637206164,0.4299661254091944
13,DB00694,145200,0,0.293103448275862,0.1818181818181818,0.0,41192.0,0.5973430881757718,0.025041609299916,0.8449734537300877,0.2108185106778919
14,DB00619,144010,0,0.5342465753424658,0.3094059405940594,0.1218017549129514,38292.0,0.7243858400061205,0.0548966846991441,0.6425333572880954,0.2690691175985249
15,DB01073,109543,1,0.7368421052631579,0.2710280373831775,0.3310914970542981,10917.0,0.9072746380403406,0.0481823759554781,0.8456894580087225,0.3411615227029607
16,DB00500,606798,0,0.2962962962962963,0.1785714285714285,0.0448083615310775,44694.0,0.6936572874731677,0.0334100829339605,0.6252445168863066,0.3175003175004762
17,DB00396,217200,1,0.3448275862068966,0.2791762013729977,0.1218017549129514,9069.0,0.7193985370260575,0.0491491230483109,0.8144660519250358,0.2981423969999719
