,Unnamed: 0,Drug,Disease,Class,Feature_TC_HPO-SIM,Feature_TC_PHENO-SIM,Feature_SE-SIM_HPO-SIM,Feature_SE-SIM_PHENO-SIM,Feature_PPI-SIM_HPO-SIM,Feature_PPI-SIM_PHENO-SIM,Feature_Unnamed: 0_HPO-SIM,Feature_Unnamed: 0_PHENO-SIM,Feature_GO-SIM_HPO-SIM,Feature_GO-SIM_PHENO-SIM,Feature_TARGETSEQ-SIM_HPO-SIM,Feature_TARGETSEQ-SIM_PHENO-SIM
0,0,DB00915,119500,1,0.594048108282343,0.0,0.5837326602328189,0.0,0.6602475584751364,0.0,200.67983404967876,0.0,0.6752990259474878,0.0,0.6602475584751364,0.0
1,1,DB00915,168100,1,0.724653716760662,0.6695340634119862,0.6217383723406547,0.5477225575051661,0.805407576525366,0.3490010815355038,268.81406213217343,268.81406213217343,0.9410711970472022,0.9410711970472022,0.805407576525366,0.4879762328362264
2,2,DB00915,126200,1,0.6217383723406547,0.5291502622129182,0.6217383723406547,0.531777101092085,0.7365581564910658,0.575405506624935,268.4995344502482,268.4995344502482,0.8731703507348817,0.8731703507348817,0.7365581564910658,0.22851095843735
3,3,DB00623,181500,1,0.8713548411865624,0.8713548411865624,0.6146362971528591,0.6146362971528591,0.8074859610612939,0.575405506624935,358.09914828158975,358.09914828158975,0.9773050827931954,0.9773050827931954,0.8074859610612939,0.4879762328362264
4,4,DB00190,168600,1,0.8493074604248951,0.676481425202546,0.8493074604248951,0.7207499701564472,0.8493074604248951,0.575405506624935,341.91958118832565,341.91958118832565,0.8493074604248951,0.7726382719625688,0.8493074604248951,0.2313026859926734
5,5,DB00190,102300,1,0.7217290915313714,0.6103679378930738,0.7217290915313714,0.5041632691962882,0.7217290915313714,0.2116798562241516,341.796723214252,341.796723214252,0.757519736325256,0.757519736325256,0.7217290915313714,0.1943224637746068
6,6,DB00190,168100,1,0.8493074604248951,0.676481425202546,0.8493074604248951,0.7207499701564472,0.8493074604248951,0.575405506624935,341.91958118832565,341.91958118832565,0.8493074604248951,0.7726382719625688,0.8493074604248951,0.2313026859926734
7,7,DB00190,125320,1,0.8211915217918958,0.5674803065350239,0.8211915217918958,0.5298129428260175,0.8211915217918958,0.3490010815355038,341.91958118832565,341.91958118832565,0.8211915217918958,0.7718033686709105,0.8211915217918958,0.2268421809226194
8,8,DB01221,147530,1,0.6804138174397717,0.6804138174397717,0.392232270276368,0.392232270276368,1.0,1.0,337.46555379771723,337.46555379771723,0.973561063979569,0.973561063979569,1.0,1.0
9,9,DB01105,264120,1,0.7171371656006361,0.7171371656006361,0.7080221859828404,0.5319086662842528,1.0,1.0,254.91371089056784,254.91371089056784,0.9731775669049556,0.9731775669049556,1.0,1.0
10,10,DB01105,601665,1,0.7171371656006361,0.7171371656006361,0.7080221859828404,0.3090669637145023,1.0,1.0,254.91371089056784,254.91371089056784,0.9731775669049556,0.9731775669049556,1.0,1.0
11,11,DB01105,303110,1,0.7171371656006361,0.7171371656006361,0.6723867799290936,0.2756589232099855,1.0,1.0,254.91371089056784,254.91371089056784,0.9731775669049556,0.9731775669049556,1.0,1.0
12,12,DB00868,608088,1,0.7071067811865476,0.7071067811865476,0.3973597071195131,0.3973597071195131,1.0,1.0,193.69821888700992,193.69821888700992,0.9233444441866908,0.9233444441866908,1.0,1.0
13,13,DB00264,608622,1,0.9309493362512627,0.9309493362512627,0.8136537404364448,0.6332576319527432,1.0,1.0,335.95088926805954,335.95088926805954,1.0,1.0,1.0,1.0
14,14,DB00264,161900,1,0.9309493362512627,0.9309493362512627,0.7628682220632321,0.6332576319527432,1.0,1.0,335.95088926805954,335.95088926805954,1.0,1.0,1.0,1.0
15,15,DB00264,190300,1,0.8790490729915326,0.8790490729915326,0.622257823674651,0.5024213216674024,1.0,1.0,325.23376208505783,325.23376208505783,0.97930014812531,0.97930014812531,1.0,1.0
16,16,DB00264,607554,1,1.0,0.820412654142367,1.0,0.546906886825484,1.0,0.3490010815355038,325.2752680423152,325.2752680423152,1.0,0.9771461048598928,1.0,0.4735196370695056
17,17,DB00264,110100,1,0.9414688716912718,0.9414688716912718,0.6095420428291101,0.6095420428291101,1.0,1.0,325.23376208505783,325.23376208505783,1.0,1.0,1.0,1.0
18,18,DB00264,608583,1,1.0,0.7196229171289245,1.0,0.5451328382337233,1.0,0.3490010815355038,325.2752680423152,325.2752680423152,1.0,0.9771461048598928,1.0,0.2190205676590267
19,19,DB00264,157700,1,0.9414688716912718,0.9414688716912718,0.6670969563058252,0.6095420428291101,1.0,1.0,325.23376208505783,325.23376208505783,1.0,1.0,1.0,1.0
20,20,DB00863,109350,1,0.9168313422570846,0.9168313422570846,0.6945680500557733,0.5322906474223771,1.0,1.0,262.4823803610444,262.4823803610444,1.0,1.0,1.0,1.0
21,21,DB00863,304790,1,0.9168313422570846,0.9168313422570846,0.6945680500557733,0.5322906474223771,1.0,1.0,262.4823803610444,262.4823803610444,1.0,1.0,1.0,1.0
22,22,DB00863,190310,1,0.9168313422570846,0.9168313422570846,0.6941215128271906,0.5322906474223771,1.0,1.0,262.4823803610444,262.4823803610444,1.0,1.0,1.0,1.0
23,23,DB06287,144700,1,0.9766504768063926,0.9766504768063926,0.5757663148492351,0.5757663148492351,1.0,1.0,316.7838379715733,316.7838379715733,1.0,1.0,1.0,1.0
24,24,DB01395,604416,1,0.9128709291752768,0.9128709291752768,0.5767139011059049,0.4402254531628119,1.0,1.0,261.7785323512988,261.7785323512988,0.9490812055149618,0.9490812055149618,1.0,1.0
